Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
scuds,6,3,4,1,0.12,0.04,0.8451,0.6021
scuff,23,16,22,16,0.45,0.19,1.3802,1.2304
scuffed,11,11,10,10,0.22,0.13,1.0792,1.0792
scuffle,22,22,22,22,0.43,0.26,1.3617,1.3617
scuffled,2,2,2,2,0.04,0.02,0.4771,0.4771
scuffling,9,8,8,7,0.18,0.1,1,0.9542
scuffs,6,4,6,4,0.12,0.05,0.8451,0.699
Scull,3,3,1,1,0.06,0.04,0.6021,0.6021
scullery,21,13,19,13,0.41,0.15,1.3424,1.1461
scullion,4,2,2,1,0.08,0.02,0.699,0.4771
scullions,3,2,2,1,0.06,0.02,0.6021,0.4771
sculpt,19,18,19,18,0.37,0.21,1.301,1.2788
sculpted,16,16,14,14,0.31,0.19,1.2304,1.2304
sculpting,19,15,18,14,0.37,0.18,1.301,1.2041
sculptor,46,32,44,32,0.9,0.38,1.6721,1.5185
sculptors,8,6,8,6,0.16,0.07,0.9542,0.8451
sculptress,8,7,8,7,0.16,0.08,0.9542,0.9031
sculpts,3,3,3,3,0.06,0.04,0.6021,0.6021
sculptural,4,4,4,4,0.08,0.05,0.699,0.699
sculpture,159,103,159,103,3.12,1.23,2.2041,2.017
sculptured,3,3,2,2,0.06,0.04,0.6021,0.6021
sculptures,33,27,32,26,0.65,0.32,1.5315,1.4472
scum,505,386,465,364,9.9,4.6,2.7042,2.5877
scumbag,281,212,256,200,5.51,2.53,2.4502,2.3284
scumbags,85,78,78,73,1.67,0.93,1.9345,1.8976
scummy,12,9,9,8,0.24,0.11,1.1139,1
scums,7,7,7,7,0.14,0.08,0.9031,0.9031
scungili,2,2,2,2,0.04,0.02,0.4771,0.4771
scungilli,2,2,1,1,0.04,0.02,0.4771,0.4771
scuppered,4,4,4,4,0.08,0.05,0.699,0.699
scuppernong,2,1,2,1,0.04,0.01,0.4771,0.301
scuppers,4,3,4,3,0.08,0.04,0.699,0.6021
scurried,5,5,5,5,0.1,0.06,0.7782,0.7782
scurries,2,1,1,1,0.04,0.01,0.4771,0.301
scurrilous,9,8,8,7,0.18,0.1,1,0.9542
scurry,40,28,28,26,0.78,0.33,1.6128,1.4624
scurrying,16,16,16,16,0.31,0.19,1.2304,1.2304
scurvy,55,48,49,44,1.08,0.57,1.7482,1.6902
Scuse,54,43,7,7,1.06,0.51,1.7404,1.6435
scut,19,11,15,10,0.37,0.13,1.301,1.0792
scuttle,41,24,24,19,0.8,0.29,1.6232,1.3979
scuttlebutt,29,23,21,18,0.57,0.27,1.4771,1.3802
scuttled,13,11,13,11,0.25,0.13,1.1461,1.0792
scuttles,3,3,3,3,0.06,0.04,0.6021,0.6021
scuttling,17,9,17,9,0.33,0.11,1.2553,1
scuzzy,9,8,9,8,0.18,0.1,1,0.9542
Scylla,15,4,0,0,0.29,0.05,1.2041,0.699
Scytale,2,1,0,0,0.04,0.01,0.4771,0.301
scythe,16,13,16,13,0.31,0.15,1.2304,1.1461
Scythian,2,2,0,0,0.04,0.02,0.4771,0.4771
Sd,9,8,0,0,0.18,0.1,1,0.9542
Sds,2,2,0,0,0.04,0.02,0.4771,0.4771
se,944,357,521,277,18.51,4.26,2.9754,2.5539
sea,3052,1353,2548,1188,59.84,16.13,3.4847,3.1316
seabed,4,4,4,4,0.08,0.05,0.699,0.699
seabirds,4,4,4,4,0.08,0.05,0.699,0.699
seaboard,61,41,33,26,1.2,0.49,1.7924,1.6232
Seaborne,7,3,2,2,0.14,0.04,0.9031,0.6021
seacraft,2,1,1,1,0.04,0.01,0.4771,0.301
seafarer,3,3,3,3,0.06,0.04,0.6021,0.6021
seafaring,10,9,10,9,0.2,0.11,1.0414,1
seafood,103,82,95,77,2.02,0.98,2.017,1.9191
seafront,3,3,3,3,0.06,0.04,0.6021,0.6021
seagoing,11,10,10,10,0.22,0.12,1.0792,1.0414
seagull,62,34,47,31,1.22,0.41,1.7993,1.5441
seagulls,56,37,37,24,1.1,0.44,1.7559,1.5798
seahorse,7,7,7,7,0.14,0.08,0.9031,0.9031
seal,752,472,565,382,14.75,5.63,2.8768,2.6749
sealant,12,7,11,6,0.24,0.08,1.1139,0.9031
sealed,497,404,473,384,9.75,4.82,2.6972,2.6075
sealer,10,5,9,5,0.2,0.06,1.0414,0.7782
sealing,46,38,43,35,0.9,0.45,1.6721,1.5911
seals,139,96,98,73,2.73,1.14,2.1461,1.9868
sealskin,7,5,7,5,0.14,0.06,0.9031,0.7782
Sealy,3,2,0,0,0.06,0.02,0.6021,0.4771
seam,33,30,31,29,0.65,0.36,1.5315,1.4914
seaman,86,47,55,37,1.69,0.56,1.9395,1.6812
seamanship,13,11,12,10,0.25,0.13,1.1461,1.0792
seamen,39,25,26,18,0.76,0.3,1.6021,1.415
seamless,16,16,15,15,0.31,0.19,1.2304,1.2304
seamlessly,5,4,5,4,0.1,0.05,0.7782,0.699
seams,68,64,68,64,1.33,0.76,1.8388,1.8129
seamstress,27,19,27,19,0.53,0.23,1.4472,1.301
seamstresses,5,4,4,3,0.1,0.05,0.7782,0.699
seamy,6,5,6,5,0.12,0.06,0.8451,0.7782
seance,23,16,22,16,0.45,0.19,1.3802,1.2304
seances,5,4,4,4,0.1,0.05,0.7782,0.699
seaplane,11,8,11,8,0.22,0.1,1.0792,0.9542
seaplanes,3,2,2,2,0.06,0.02,0.6021,0.4771
seaport,8,8,4,4,0.16,0.1,0.9542,0.9542
seaports,3,3,3,3,0.06,0.04,0.6021,0.6021
sear,11,7,10,6,0.22,0.08,1.0792,0.9031
search,2467,1549,2172,1412,48.37,18.47,3.3923,3.1903
searched,406,320,399,318,7.96,3.81,2.6096,2.5065
Searcher,17,5,3,3,0.33,0.06,1.2553,0.7782
searchers,8,7,4,4,0.16,0.08,0.9542,0.9031
searches,67,61,66,60,1.31,0.73,1.8325,1.7924
searching,856,665,781,629,16.78,7.93,2.933,2.8235
searchlight,22,12,20,11,0.43,0.14,1.3617,1.1139
searchlights,22,17,18,14,0.43,0.2,1.3617,1.2553
seared,11,10,8,8,0.22,0.12,1.0792,1.0414
searing,16,16,12,12,0.31,0.19,1.2304,1.2304
Sears,135,82,3,3,2.65,0.98,2.1335,1.9191
seas,223,174,188,150,4.37,2.07,2.3502,2.243
seascape,3,2,2,1,0.06,0.02,0.6021,0.4771
seascapes,2,2,2,2,0.04,0.02,0.4771,0.4771
seashell,16,13,15,12,0.31,0.15,1.2304,1.1461
seashells,32,21,28,21,0.63,0.25,1.5185,1.3424
seashore,24,21,23,20,0.47,0.25,1.3979,1.3424
seashores,2,2,2,2,0.04,0.02,0.4771,0.4771
seasick,70,52,68,50,1.37,0.62,1.8513,1.7243
seasickness,7,7,7,7,0.14,0.08,0.9031,0.9031
seaside,33,25,31,24,0.65,0.3,1.5315,1.415
season,1605,1000,1453,882,31.47,11.92,3.2057,3.0004
seasonable,2,2,2,2,0.04,0.02,0.4771,0.4771
Seasonal,50,25,24,22,0.98,0.3,1.7076,1.415
seasonally,2,2,2,2,0.04,0.02,0.4771,0.4771
seasoned,50,45,48,43,0.98,0.54,1.7076,1.6628
seasoning,27,24,27,24,0.53,0.29,1.4472,1.3979
seasonings,6,6,5,5,0.12,0.07,0.8451,0.8451
seasons,210,158,138,113,4.12,1.88,2.3243,2.2014
seat,4018,2443,3943,2416,78.78,29.12,3.6041,3.3881
seatbelt,47,34,41,31,0.92,0.41,1.6812,1.5441
seated,436,343,428,339,8.55,4.09,2.6405,2.5366
seater,2,2,1,1,0.04,0.02,0.4771,0.4771
seating,109,91,104,87,2.14,1.08,2.0414,1.9638
seatings,2,2,2,2,0.04,0.02,0.4771,0.4771
seats,1110,787,1093,776,21.76,9.38,3.0457,2.8965
Seattle,637,274,13,9,12.49,3.27,2.8048,2.4393
seawall,2,2,2,2,0.04,0.02,0.4771,0.4771
seaward,6,5,4,4,0.12,0.06,0.8451,0.7782
seawater,23,17,20,17,0.45,0.2,1.3802,1.2553
seaweed,88,62,67,57,1.73,0.74,1.9494,1.7993
seaworthy,10,10,10,10,0.2,0.12,1.0414,1.0414
sebaceous,5,5,4,4,0.1,0.06,0.7782,0.7782
seborrhea,4,2,2,2,0.08,0.02,0.699,0.4771
seborrhoea,2,1,2,1,0.04,0.01,0.4771,0.301
sec,877,708,842,687,17.2,8.44,2.9435,2.8506
secede,4,4,4,4,0.08,0.05,0.699,0.699
seceded,3,3,3,3,0.06,0.04,0.6021,0.6021
seceding,3,3,3,3,0.06,0.04,0.6021,0.6021
seclude,2,2,2,2,0.04,0.02,0.4771,0.4771
secluded,52,48,51,47,1.02,0.57,1.7243,1.6902
seclusion,36,29,35,28,0.71,0.35,1.5682,1.4771
Seconal,14,14,0,0,0.27,0.17,1.1761,1.1761
second,14513,5734,13210,5498,284.57,68.36,4.1618,3.7585
secondaries,3,3,3,3,0.06,0.04,0.6021,0.6021
secondary,209,162,188,150,4.1,1.93,2.3222,2.2122
seconde,7,3,5,3,0.14,0.04,0.9031,0.6021
seconded,20,11,13,10,0.39,0.13,1.3222,1.0792
secondhand,54,50,47,44,1.06,0.6,1.7404,1.7076
Secondly,152,134,57,49,2.98,1.6,2.1847,2.1303
seconds,3603,2000,3580,1991,70.65,23.84,3.5568,3.3012
secours,2,1,2,1,0.04,0.01,0.4771,0.301
secrecies,3,2,3,2,0.06,0.02,0.6021,0.4771
secrecy,177,156,171,150,3.47,1.86,2.2504,2.1959
secret,5585,2847,4969,2688,109.51,33.94,3.7471,3.4545
secretarial,16,14,14,13,0.31,0.17,1.2304,1.1761
Secretariat,5,4,0,0,0.1,0.05,0.7782,0.699
secretaries,74,64,67,59,1.45,0.76,1.8751,1.8129
secretary,1694,782,1147,654,33.22,9.32,3.2292,2.8938
